[2026-02-20 17:59:29.177] [info]  DiscordSplash.signalReady
[2026-02-20 17:59:29.185] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-02-20 17:59:29.186] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-02-20 17:59:29.187] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-02-20 17:59:29.187] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-02-20 17:59:29.205] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-02-20 17:59:29.207] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-02-20 17:59:29.209] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-02-20 17:59:29.210] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-02-20 17:59:29.212] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-02-20 17:59:29.213] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-02-20 17:59:29.214] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-02-20 17:59:29.214] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-02-20 17:59:29.215] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-02-20 17:59:29.215] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-02-20 17:59:29.888] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-02-20 17:59:29.888] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-02-20 17:59:30.177] [info]  Splash.updateCountdownSeconds: undefined
[2026-02-20 17:59:30.764] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-02-20 17:59:30.765] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-02-20 17:59:30.765] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-02-20 17:59:30.765] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-02-20 17:59:30.782] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-02-20 17:59:30.783] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-02-20 17:59:30.819] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-02-20 17:59:30.819] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-02-20 17:59:30.824] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-02-20 17:59:30.825] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2026-02-20 17:59:31.057] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-02-20 17:59:31.057] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-02-20 17:59:31.059] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-02-20 17:59:31.059] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-02-20 17:59:31.063] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-02-20 17:59:31.063] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-02-20 17:59:31.065] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-02-20 17:59:31.065] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-02-20 17:59:31.069] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-02-20 17:59:31.070] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2026-02-20 17:59:31.071] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-02-20 17:59:31.071] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-02-20 17:59:31.077] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-02-20 17:59:31.077] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-02-20 17:59:31.102] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2026-02-20 17:59:31.102] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2026-02-20 17:59:31.103] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-02-20 17:59:31.103] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-02-20 17:59:31.108] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2026-02-20 17:59:31.109] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2026-02-20 17:59:31.115] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-02-20 17:59:31.115] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-02-20 17:59:31.119] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2026-02-20 17:59:31.119] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2026-02-20 17:59:31.177] [info]  Splash.updateCountdownSeconds: undefined
[2026-02-20 17:59:31.203] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2026-02-20 17:59:31.203] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2026-02-20 17:59:32.177] [info]  Splash.updateCountdownSeconds: undefined
[2026-02-20 17:59:32.509] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2026-02-20 17:59:32.509] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2026-02-20 17:59:32.511] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2026-02-20 17:59:32.511] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2026-02-20 17:59:32.511] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2026-02-20 17:59:32.512] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2026-02-20 17:59:32.513] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2026-02-20 17:59:32.513] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2026-02-20 17:59:32.518] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2026-02-20 17:59:32.519] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
